city,date,no2
Rawalpindi,2024-01-15,1.898832669106135E-4
Multan,2024-01-15,
Peshawar,2024-01-15,5.759491621800585E-5
Gujranwala,2024-01-15,
Quetta,2024-01-15,1.487331603953955E-5
Sialkot,2024-01-15,
Hyderabad,2024-01-15,3.82938813259283E-5
Bahawalpur,2024-01-15,
Sargodha,2024-01-15,
Sukkur,2024-01-15,3.675342415911122E-5
Larkana,2024-01-15,2.0623184391694935E-5
Lahore,2024-01-16,
Karachi,2024-01-16,5.1216060234571785E-5
Islamabad,2024-01-16,1.0570924766406768E-4
Faisalabad,2024-01-16,1.3251643682360236E-4
Rawalpindi,2024-01-16,7.599240290793422E-5
Multan,2024-01-16,
Peshawar,2024-01-16,4.56648047105352E-5
Gujranwala,2024-01-16,
Quetta,2024-01-16,9.437891306424625E-6
Sialkot,2024-01-16,3.078647032841202E-5
Hyderabad,2024-01-16,3.4981640124882655E-5
Bahawalpur,2024-01-16,5.104887206538817E-5
Sargodha,2024-01-16,3.112818381016277E-5
Sukkur,2024-01-16,3.8745928825665614E-5
Larkana,2024-01-16,3.360113478709324E-5
Lahore,2024-01-17,1.5135985488829164E-4
Karachi,2024-01-17,2.815086397456826E-4
Islamabad,2024-01-17,1.0713808732690211E-4
Faisalabad,2024-01-17,1.124068349859317E-4
Rawalpindi,2024-01-17,9.483520328071E-5
Multan,2024-01-17,5.785975602427584E-5
Peshawar,2024-01-17,2.666259705945171E-5
Gujranwala,2024-01-17,6.558689043529804E-5
Quetta,2024-01-17,4.972368735313561E-6
Sialkot,2024-01-17,3.2392982335016686E-5
Hyderabad,2024-01-17,4.665113953290175E-5
Bahawalpur,2024-01-17,4.1137467628935875E-5
Sargodha,2024-01-17,2.7545517027447414E-5
Sukkur,2024-01-17,3.564946090337308E-5
Larkana,2024-01-17,2.7573588578763383E-5
Lahore,2024-01-18,2.061393592196786E-4
Karachi,2024-01-18,1.397639690419518E-4
Islamabad,2024-01-18,1.667670787874633E-4
Faisalabad,2024-01-18,1.2832343669584115E-4
Rawalpindi,2024-01-18,1.4340942243825782E-4
Multan,2024-01-18,1.595499328812398E-4
Peshawar,2024-01-18,6.39294769488595E-5
Gujranwala,2024-01-18,5.336118877703427E-5
Quetta,2024-01-18,2.0076749341979674E-5
Sialkot,2024-01-18,4.7464240639636274E-5
Hyderabad,2024-01-18,3.5038721391658465E-5
Bahawalpur,2024-01-18,4.7563027539429455E-5
Sargodha,2024-01-18,5.390195839698473E-5
Sukkur,2024-01-18,3.457657606093947E-5
Larkana,2024-01-18,2.7797161660433007E-5
Lahore,2024-01-19,3.90493752086792E-4
Karachi,2024-01-19,1.7799553532670668E-4
Islamabad,2024-01-19,1.350333555838676E-4
Faisalabad,2024-01-19,1.3540565754767395E-4
Rawalpindi,2024-01-19,1.5246558055993843E-4
Multan,2024-01-19,8.987906027937729E-5
Peshawar,2024-01-19,5.9991183730407125E-5
Gujranwala,2024-01-19,1.233693813733641E-4
Quetta,2024-01-19,2.0912940538835402E-5
Sialkot,2024-01-19,
Hyderabad,2024-01-19,3.570357807971731E-5
Bahawalpur,2024-01-19,4.105867120744946E-5
Sargodha,2024-01-19,5.290941270152663E-5
Sukkur,2024-01-19,3.8364311389297005E-5
Larkana,2024-01-19,3.031377284369024E-5
Lahore,2024-01-20,
Karachi,2024-01-20,5.6299217760952185E-5
Islamabad,2024-01-20,1.2687489193396616E-4
Faisalabad,2024-01-20,
Rawalpindi,2024-01-20,1.289859200173775E-4
Multan,2024-01-20,
Peshawar,2024-01-20,4.523649225114162E-5
Gujranwala,2024-01-20,
Quetta,2024-01-20,1.462994739897398E-5
Sialkot,2024-01-20,
Hyderabad,2024-01-20,4.456935571596937E-5
Bahawalpur,2024-01-20,
Sargodha,2024-01-20,
Sukkur,2024-01-20,3.064327223260785E-5
Larkana,2024-01-20,4.716958968018904E-5
Lahore,2024-01-21,
Karachi,2024-01-21,1.3890401107263727E-4
Islamabad,2024-01-21,7.704681783509626E-5
Faisalabad,2024-01-21,
Rawalpindi,2024-01-21,9.44149423956857E-5
Multan,2024-01-21,5.703043485551831E-5
Peshawar,2024-01-21,5.480467700763819E-5
Gujranwala,2024-01-21,
Quetta,2024-01-21,2.513969290660724E-5
Sialkot,2024-01-21,
Hyderabad,2024-01-21,3.758600062784432E-5
Bahawalpur,2024-01-21,
Sargodha,2024-01-21,
Sukkur,2024-01-21,7.862176773139879E-5
Larkana,2024-01-21,7.07442963458704E-5
Lahore,2024-01-22,
Karachi,2024-01-22,8.11654571236504E-5
Islamabad,2024-01-22,7.690464400173635E-5
Faisalabad,2024-01-22,
Rawalpindi,2024-01-22,8.542882105083806E-5
Multan,2024-01-22,
Peshawar,2024-01-22,4.4877407893094515E-5
Gujranwala,2024-01-22,
Quetta,2024-01-22,1.574688102902291E-5
Sialkot,2024-01-22,
Hyderabad,2024-01-22,4.906549678542201E-5
Bahawalpur,2024-01-22,
Sargodha,2024-01-22,
Sukkur,2024-01-22,4.213742960237838E-5
Larkana,2024-01-22,3.2864887935296723E-5
Lahore,2024-01-23,1.3567344793075472E-4
Karachi,2024-01-23,3.0929767710342074E-4
Islamabad,2024-01-23,1.797566557859858E-4
Faisalabad,2024-01-23,
Rawalpindi,2024-01-23,1.6152228272010773E-4
Multan,2024-01-23,
Peshawar,2024-01-23,7.392003840229477E-5
Gujranwala,2024-01-23,
Quetta,2024-01-23,9.711432214501147E-6
Sialkot,2024-01-23,
Hyderabad,2024-01-23,3.4102466216786456E-5
Bahawalpur,2024-01-23,
Sargodha,2024-01-23,2.551317667556754E-5
Sukkur,2024-01-23,2.4191234945178136E-5
Larkana,2024-01-23,
