city,date,temp_c,wind_ms,precip_mm
Faisalabad,2022-07-20,32.23117693072567,2.188773943979415,2.782638612409823
Rawalpindi,2022-07-20,27.757782612692154,2.2533503060215674,14.323080241445886
Multan,2022-07-20,32.98932172691349,4.781395499027244,8.573397932167819E-4
Peshawar,2022-07-20,32.23030850033393,2.5138031283971594,0.7367421494155252
Gujranwala,2022-07-20,28.462233389459982,2.643263799008898,43.11253343100438
Quetta,2022-07-20,27.941293405042302,1.8448525633799913,0.007651631221603493
Sialkot,2022-07-20,27.801359459169646,2.070405910761525,41.62485519928319
Hyderabad,2022-07-20,29.41902260290641,7.113224909237049,0.30971385510985205
Bahawalpur,2022-07-20,31.722462158380495,5.29563878844581,8.575237481316307E-4
Sargodha,2022-07-20,32.06016185850444,2.8973674941208976,6.940959087075425
Sukkur,2022-07-20,31.543506250276437,4.941598534374612,8.53361868232532E-4
Larkana,2022-07-20,32.353877672949295,4.046675901205299,8.57152999048321E-4
Lahore,2022-07-21,27.01868997602952,2.8214832354249304,11.31869613100625
Karachi,2022-07-21,28.625748260193348,7.374931679348787,1.7724910338151565
Islamabad,2022-07-21,24.4303645726186,1.9148960659678818,14.613991070400736
Faisalabad,2022-07-21,28.792648378262015,2.78839100470966,20.972708783607175
Rawalpindi,2022-07-21,24.76732103073965,2.382197463497456,15.81359907381416
Multan,2022-07-21,30.852384336587022,2.48151534514118,2.8287372597953118
Peshawar,2022-07-21,27.736455819774108,1.8729587954129125,2.6871290514680126
Gujranwala,2022-07-21,25.86040462039449,2.745039995948095,29.291065086304286
Quetta,2022-07-21,27.625297847631202,0.9944110719969486,0.9157692390486236
Sialkot,2022-07-21,25.536013485440265,2.408289333397611,41.75544900511912
Hyderabad,2022-07-21,29.371051750467643,7.322593482980611,0.23538628867733852
Bahawalpur,2022-07-21,30.24893054445181,2.7995981182516783,3.6579777024561855
Sargodha,2022-07-21,27.722652482089075,2.7130330347721157,135.77850603462247
Sukkur,2022-07-21,32.01077136328911,4.1432283465112105,0.0025796561544666474
Larkana,2022-07-21,32.733297637238024,2.763309867801027,0.0025796561544666474
Lahore,2022-07-22,28.3128996578219,2.4995281781926413,7.8068804769631495
Karachi,2022-07-22,28.550438131751378,5.487559815154787,1.683975380798632
Islamabad,2022-07-22,25.680507259078524,0.5747301853935243,4.387010045044068
Faisalabad,2022-07-22,28.27888887961609,2.5710196441799207,7.750341932061529
Rawalpindi,2022-07-22,26.36756404272336,0.8442595709311465,3.6017848672526083
Multan,2022-07-22,28.927428044630233,0.8563696524713168,43.148322172603876
Peshawar,2022-07-22,27.93443329930369,0.3373357364665845,1.590807482347671
Gujranwala,2022-07-22,28.60069454023875,2.499557499323064,3.933245398859467
Quetta,2022-07-22,26.128380199627316,0.45099164882547116,0.35850254402085524
Sialkot,2022-07-22,28.55745470900365,2.3282487902662554,2.5710086368634446
Hyderabad,2022-07-22,29.404017131628166,5.811811468575546,0.5589392636361583
Bahawalpur,2022-07-22,28.816060477846747,1.8934164576012622,12.865597771810217
Sargodha,2022-07-22,28.063516678047904,2.6414081740997863,17.99415401631154
Sukkur,2022-07-22,30.625197974213904,1.963632682619898,0.00832038070225529
Larkana,2022-07-22,31.2544448995165,0.9959797854634412,0.0014449850319457082
Lahore,2022-07-23,28.362574712886897,2.5762181167028873,2.9929960543713237
Karachi,2022-07-23,28.501685181484447,5.3060390961233885,1.442964082218204
Islamabad,2022-07-23,26.13377434525603,0.8819471621528465,7.349109320479351
Faisalabad,2022-07-23,28.694862771728538,2.3563664386643013,9.58634764754011
Rawalpindi,2022-07-23,26.88739631331805,1.3373467005498902,5.344345319305558
